iter	RMSE
0	0.1672064621
1	0.1535857682
2	0.1410489393
3	0.136276276
4	0.1262614291
5	0.1182460076
6	0.111313654
7	0.1066850972
8	0.1002847933
9	0.0941324423
10	0.0890853189
11	0.08442993708
12	0.07935093115
13	0.07677150714
14	0.07339442691
15	0.06971931109
16	0.06571780709
17	0.06218967916
18	0.05992313587
19	0.05780279365
20	0.05608656762
21	0.05262924192
22	0.05019801989
23	0.04809865465
24	0.04629088221
25	0.04444663522
26	0.04293368533
27	0.04197617879
28	0.04021669413
29	0.03877246621
30	0.03773226368
31	0.03668082998
32	0.03601223573
33	0.03555490275
34	0.03517070809
35	0.03423716105
36	0.03346190122
37	0.03300370699
38	0.03260864391
39	0.03232454962
40	0.03182800921
41	0.03108150133
42	0.03019231428
43	0.02956056751
44	0.02874420807
45	0.02838306738
46	0.02779718329
47	0.02740436562
48	0.02695757826
49	0.02659457428
50	0.02634254967
51	0.02577413147
52	0.02532115326
53	0.02488508519
54	0.02463910108
55	0.02435433803
56	0.02372322563
57	0.02340755621
58	0.022893002
59	0.02246757624
60	0.02225278372
61	0.02198129189
62	0.02160719259
63	0.02140157676
64	0.02098080151
65	0.02057024232
66	0.02020568547
67	0.0198660879
68	0.01959590956
69	0.01927659949
70	0.01894202979
71	0.01871809394
72	0.01841202916
73	0.01820382461
74	0.01793577946
75	0.01774375734
76	0.01763944469
77	0.01736630431
78	0.01727770202
79	0.01689575664
80	0.01657724787
81	0.01644611988
82	0.01615089447
83	0.01588693791
84	0.01572371425
85	0.01564321468
86	0.01549959405
87	0.01523358332
88	0.01506359788
89	0.01492598443
90	0.01481977201
91	0.01458885607
92	0.01446119465
93	0.01436118714
94	0.01421560488
95	0.01409290146
96	0.01387243103
97	0.01364845853
98	0.01351430442
99	0.01345526593
100	0.01324945878
101	0.01305216307
102	0.01285599275
103	0.01257388682
104	0.01246127978
105	0.0123988475
106	0.01230104542
107	0.01221233026
108	0.01204266378
109	0.01184065517
110	0.01173933793
111	0.01169162043
112	0.01152031237
113	0.01134952649
114	0.01110028335
115	0.01101177042
116	0.01096042015
117	0.0108606502
118	0.01079343442
119	0.0107033706
120	0.01048969402
121	0.01035789068
122	0.01027885774
123	0.01020616318
124	0.01003192174
125	0.009951897909
126	0.009873427671
127	0.009686180434
128	0.009578657976
129	0.009505240322
130	0.009433300447
131	0.009369865473
132	0.009299904747
133	0.00920520968
134	0.009099758564
135	0.008937954943
136	0.008874183701
137	0.008807156187
138	0.008652504394
139	0.008587527252
140	0.008505202212
141	0.008442581429
142	0.008383162017
143	0.008326106919
144	0.008276392827
145	0.008191802832
146	0.008047304364
147	0.007987648354
148	0.007932509378
149	0.007879608271
150	0.007823117969
151	0.007768670874
152	0.007639431257
153	0.007575966012
154	0.007506503824
155	0.007452956374
156	0.007404165365
157	0.007359701716
158	0.007309062928
159	0.007239034613
160	0.007197777767
161	0.007070366107
162	0.007020686452
163	0.006986349696
164	0.006786804809
165	0.006729380796
166	0.006683124502
167	0.006514915829
168	0.006466893114
